menu,page,article_number,date,writer,title
39,2,7345,2026.05.09.,블루진즈 황의진,"[공유] [Day 1] 완벽하지 않아도, 결국 잘될 사람의 태도"
39,2,7337,2026.05.08.,굳건하군 이태희,[Day 2] 굳건하군 이태희 / 부자들은 1% 행운도 바라지 않는다.
39,2,7332,2026.05.08.,철저하군,Day 5. 오늘의 글쓰기
39,2,7325,2026.05.08.,도사 정수진,[Day 1] 도사 정수진/ 부자들의 생각법(믿고 싶은 것만 믿는다/ 집단 밖에서 보기/ 우연)
39,2,7324,2026.05.08.,꾸준하군 한윤정,[공유] [Day 3 꾸준하군 한윤정 / 대표성 휴리스틱의 오류]
39,2,7322,2026.05.07.,철저하군,Day 4. 경험을 통해 얻게되는 소득
39,2,7316,2026.05.07.,꾸준하군 한윤정,[공유] [Day 2 꾸준하군 한윤정 / 워런버핏이 월스트리트에서 살지 않은 이유]
39,2,7315,2026.05.07.,꾸준하군 한윤정,[공유] [Day 1 꾸준하군 한윤정 / 폭탄은 늘 개인들의 손에서 터진다!]
39,2,7308,2026.05.06.,일리아나,[Day1] 일리아나 권가은 / 5월은..
39,2,7305,2026.05.06.,굳건하군 이태희,[Day 1] 굳건하군 이태희 / 모두가 열광할 때가 가장 위험하다.
39,2,7302,2026.05.06.,철저하군,Day 3. 전설적기상 313일차
39,2,7300,2026.05.06.,충실하군 최경남,[DAY 1]충실하군 최경남 / 많은 사람이 열광할 때가 가장 위험하다.
39,2,7294,2026.05.05.,철저하군,Day 2. 하고싶은것의 방향
39,2,7289,2026.05.04.,철저하군,Day1. 신속한 결정이 가져오는 성과
40,1,7307,2026.05.06.,쓰나미,"(Day 2) 5월의 새벽, 제 책상 위에는 7권의 스승이 살고 있습니다"
40,1,7296,2026.05.05.,쓰나미,(Day 1) 멈춰 서서 바라본 '돈의 심리학' : 숫자가 아닌 마음의 궤적
